"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2017",42.34,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2018",42.688,
"AUT","WOMENTEACHER","TRY","PC_TEACHER","A","2019",42.842,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2017",48.534,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2018",48.359,
"BEL","WOMENTEACHER","TRY","PC_TEACHER","A","2019",48.855,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2017",49.152,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2018",49.311,
"CAN","WOMENTEACHER","TRY","PC_TEACHER","A","2019",49.509,
"CZE","WOMENTEACHER","TRY","PC_TEACHER","A","2017",38.444,
"CZE","WOMENTEACHER","TRY","PC_TEACHER","A","2018",38.125,
"CZE","WOMENTEACHER","TRY","PC_TEACHER","A","2019",38.055,
"FIN","WOMENTEACHER","TRY","PC_TEACHER","A","2017",51.877,
"FIN","WOMENTEACHER","TRY","PC_TEACHER","A","2018",51.916,
"FIN","WOMENTEACHER","TRY","PC_TEACHER","A","2019",52.099,
"FRA","WOMENTEACHER","TRY","PC_TEACHER","A","2017",43.729,
"FRA","WOMENTEACHER","TRY","PC_TEACHER","A","2018",43.953,
"FRA","WOMENTEACHER","TRY","PC_TEACHER","A","2019",44.927,
"DEU","WOMENTEACHER","TRY","PC_TEACHER","A","2017",39.303,
"DEU","WOMENTEACHER","TRY","PC_TEACHER","A","2018",39.763,
"DEU","WOMENTEACHER","TRY","PC_TEACHER","A","2019",39.498,
"HUN","WOMENTEACHER","TRY","PC_TEACHER","A","2017",40.234,
"HUN","WOMENTEACHER","TRY","PC_TEACHER","A","2018",41.022,
"HUN","WOMENTEACHER","TRY","PC_TEACHER","A","2019",41.078,
"ITA","WOMENTEACHER","TRY","PC_TEACHER","A","2017",37.093,
"ITA","WOMENTEACHER","TRY","PC_TEACHER","A","2018",37.358,
"ITA","WOMENTEACHER","TRY","PC_TEACHER","A","2019",37.754,
"JPN","WOMENTEACHER","TRY","PC_TEACHER","A","2017",28.414,
"JPN","WOMENTEACHER","TRY","PC_TEACHER","A","2018",28.414,
"JPN","WOMENTEACHER","TRY","PC_TEACHER","A","2019",28.414,
"KOR","WOMENTEACHER","TRY","PC_TEACHER","A","2017",35.085,
"KOR","WOMENTEACHER","TRY","PC_TEACHER","A","2018",35.568,
"KOR","WOMENTEACHER","TRY","PC_TEACHER","A","2019",35.109,
"LUX","WOMENTEACHER","TRY","PC_TEACHER","A","2017",37.337,
"LUX","WOMENTEACHER","TRY","PC_TEACHER","A","2018",35.612,
"LUX","WOMENTEACHER","TRY","PC_TEACHER","A","2019",34.979,
"NLD","WOMENTEACHER","TRY","PC_TEACHER","A","2017",45.86,
"NLD","WOMENTEACHER","TRY","PC_TEACHER","A","2018",45.893,
"NLD","WOMENTEACHER","TRY","PC_TEACHER","A","2019",46.306,
"NZL","WOMENTEACHER","TRY","PC_TEACHER","A","2017",50.15,
"NZL","WOMENTEACHER","TRY","PC_TEACHER","A","2018",51.486,
"NZL","WOMENTEACHER","TRY","PC_TEACHER","A","2019",51.917,
"NOR","WOMENTEACHER","TRY","PC_TEACHER","A","2017",46.276,
"NOR","WOMENTEACHER","TRY","PC_TEACHER","A","2018",46.32,
"NOR","WOMENTEACHER","TRY","PC_TEACHER","A","2019",46.9,
"POL","WOMENTEACHER","TRY","PC_TEACHER","A","2017",45.024,
"POL","WOMENTEACHER","TRY","PC_TEACHER","A","2018",44.976,
"POL","WOMENTEACHER","TRY","PC_TEACHER","A","2019",46.218,
"PRT","WOMENTEACHER","TRY","PC_TEACHER","A","2017",44.276,
"PRT","WOMENTEACHER","TRY","PC_TEACHER","A","2018",44.76,
"PRT","WOMENTEACHER","TRY","PC_TEACHER","A","2019",45.107,
"SVK","WOMENTEACHER","TRY","PC_TEACHER","A","2017",45.764,
"SVK","WOMENTEACHER","TRY","PC_TEACHER","A","2018",46.195,
"SVK","WOMENTEACHER","TRY","PC_TEACHER","A","2019",46.568,
"ESP","WOMENTEACHER","TRY","PC_TEACHER","A","2017",43.443,
"ESP","WOMENTEACHER","TRY","PC_TEACHER","A","2018",43.861,
"ESP","WOMENTEACHER","TRY","PC_TEACHER","A","2019",44.434,
"SWE","WOMENTEACHER","TRY","PC_TEACHER","A","2017",44.827,
"SWE","WOMENTEACHER","TRY","PC_TEACHER","A","2018",45.122,
"SWE","WOMENTEACHER","TRY","PC_TEACHER","A","2019",45.993,
"CHE","WOMENTEACHER","TRY","PC_TEACHER","A","2017",35.508,
"CHE","WOMENTEACHER","TRY","PC_TEACHER","A","2018",35.48,
"CHE","WOMENTEACHER","TRY","PC_TEACHER","A","2019",35.499,
"TUR","WOMENTEACHER","TRY","PC_TEACHER","A","2017",44.019,
"TUR","WOMENTEACHER","TRY","PC_TEACHER","A","2018",44.425,
"TUR","WOMENTEACHER","TRY","PC_TEACHER","A","2019",44.753,
"GBR","WOMENTEACHER","TRY","PC_TEACHER","A","2017",45.152,
"GBR","WOMENTEACHER","TRY","PC_TEACHER","A","2018",45.471,
"GBR","WOMENTEACHER","TRY","PC_TEACHER","A","2019",46.251,
"USA","WOMENTEACHER","TRY","PC_TEACHER","A","2017",49.568,
"USA","WOMENTEACHER","TRY","PC_TEACHER","A","2018",49.858,
"USA","WOMENTEACHER","TRY","PC_TEACHER","A","2019",50.22,
"BRA","WOMENTEACHER","TRY","PC_TEACHER","A","2017",45.752,
"BRA","WOMENTEACHER","TRY","PC_TEACHER","A","2018",45.96,
"BRA","WOMENTEACHER","TRY","PC_TEACHER","A","2019",46.152,
"SVN","WOMENTEACHER","TRY","PC_TEACHER","A","2017",42.575,
"SVN","WOMENTEACHER","TRY","PC_TEACHER","A","2018",41.998,
"SVN","WOMENTEACHER","TRY","PC_TEACHER","A","2019",42.737,
"OAVG","WOMENTEACHER","TRY","PC_TEACHER","A","2017",43.677,
"OAVG","WOMENTEACHER","TRY","PC_TEACHER","A","2018",43.937,
"OAVG","WOMENTEACHER","TRY","PC_TEACHER","A","2019",44.171,
"AUT","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",98.594,
"AUT","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",98.49,
"AUT","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",98.321,
"CZE","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",99.499,
"CZE","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",99.511,
"CZE","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",99.511,
"DNK","WOMENTEACHER","TRY","PC_TEACHER","A","2017",44.118,
"DNK","WOMENTEACHER","TRY","PC_TEACHER","A","2018",44.154,
"DNK","WOMENTEACHER","TRY","PC_TEACHER","A","2019",44.256,
"DNK","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",93.819,
"DNK","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",93.559,
"FRA","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",90.958,
"FRA","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",91.1,
"FRA","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",91.178,
"DEU","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",95.753,
"DEU","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",95.512,
"DEU","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",95.152,
"GRC","WOMENTEACHER","TRY","PC_TEACHER","A","2017",34.289,
"GRC","WOMENTEACHER","TRY","PC_TEACHER","A","2018",34.671,
"GRC","WOMENTEACHER","TRY","PC_TEACHER","A","2019",35.698,
"GRC","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",98.989,
"HUN","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",99.498,
"HUN","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",99.548,
"HUN","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",99.56,
"ISL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",94.602,
"ISL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",93.884,
"ISL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",93.123,
"IRL","WOMENTEACHER","TRY","PC_TEACHER","A","2017",45.001,
"IRL","WOMENTEACHER","TRY","PC_TEACHER","A","2018",45.003,
"IRL","WOMENTEACHER","TRY","PC_TEACHER","A","2019",46.112,
"IRL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",98.634,
"IRL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",98.676,
"IRL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",98.354,
"ITA","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",98.724,
"ITA","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",98.879,
"ITA","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",98.679,
"JPN","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",96.899,
"JPN","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",96.899,
"JPN","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",96.899,
"KOR","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",99.309,
"KOR","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",99.322,
"KOR","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",99.368,
"LUX","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",96.077,
"LUX","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",95.841,
"LUX","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",95.785,
"MEX","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",95.921,
"MEX","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",94.266,
"MEX","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",94.202,
"NLD","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",87.673,
"NLD","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",87.884,
"NLD","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",88.024,
"NZL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",97.411,
"NZL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",97.375,
"NZL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",97.333,
"NOR","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",91.98,
"NOR","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",91.523,
"NOR","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",91.129,
"POL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",97.856,
"POL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",97.831,
"POL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",97.87,
"SVK","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",99.492,
"SVK","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",99.505,
"SVK","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",99.622,
"ESP","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",94.546,
"ESP","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",94.673,
"ESP","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",94.715,
"SWE","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",95.355,
"SWE","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",95.579,
"SWE","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",96.63,
"CHE","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",97.108,
"CHE","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",97.206,
"CHE","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",97.045,
"GBR","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",96.413,
"GBR","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",96.326,
"GBR","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",95.726,
"BRA","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",96.194,
"BRA","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",96.182,
"BRA","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",96.059,
"CHL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2017",98.668,
"CHL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2018",98.512,
"CHL","WOMENTEACHER","EARLYCHILDEDU","PC_TEACHER","A","2019",98.61,
"COL","WOMENTEACHER","TRY","PC_TEACHER","A","2017",37.372,
"COL","WOMENTEACHER","TRY","PC_TEACHER","A","2018",38.276,
"COL","WOMENTEACHER","TRY","PC_TEACHER","A","2019",38.427,
"EST","WOMENTEACHER","TRY","PC_TEACHER","A","2017",48.898,
"EST","WOMENTEACHER","TRY","PC_TEACHER","A","2018",49.058,
